epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1940.83,0.99177,1.38734,0.52346,0.93207,0.92717,0.82583,0.89584,0.62994,0.90327,0.80454,0.87184,0.53115,1.03294,1.47756,0.53496,0.95914,0.0003962,0.0003962,0.0003962
83,1964.18,0.99675,1.37367,0.51703,0.92988,0.92227,0.8202,0.89657,0.62559,0.89511,0.79046,0.86513,0.52983,1.05262,1.49711,0.542,0.95852,0.0003764,0.0003764,0.0003764
84,1987.82,0.99466,1.37504,0.50955,0.92816,0.92671,0.81897,0.8977,0.62987,0.89657,0.79154,0.86377,0.52438,1.05951,1.48726,0.54125,0.96247,0.0003566,0.0003566,0.0003566
85,2011.1,0.98021,1.35322,0.49611,0.9252,0.92019,0.81861,0.8963,0.62183,0.89228,0.78691,0.86146,0.51163,1.08126,1.49338,0.54805,0.96571,0.0003368,0.0003368,0.0003368
86,2034.67,0.98703,1.36413,0.49962,0.92735,0.92724,0.83174,0.89771,0.63412,0.9069,0.80735,0.8722,0.5335,1.02553,1.46924,0.52384,0.95964,0.000317,0.000317,0.000317
87,2058.08,1.00488,1.41052,0.52572,0.9415,0.92268,0.82319,0.89812,0.61791,0.89562,0.79205,0.86338,0.51327,1.11673,1.5498,0.54632,0.97541,0.0002972,0.0002972,0.0002972
88,2081.56,0.98903,1.38975,0.50927,0.93243,0.91608,0.81949,0.89716,0.6337,0.89094,0.78431,0.86412,0.52604,1.03037,1.48166,0.53871,0.95307,0.0002774,0.0002774,0.0002774
89,2105.14,0.98762,1.36464,0.49953,0.93011,0.9231,0.82783,0.89934,0.63061,0.89759,0.80496,0.87296,0.5328,1.04167,1.47755,0.53092,0.95965,0.0002576,0.0002576,0.0002576
90,2128.56,0.96366,1.33875,0.49333,0.92232,0.91496,0.81685,0.89697,0.62428,0.88535,0.7873,0.86491,0.51729,1.0613,1.51313,0.53913,0.96264,0.0002378,0.0002378,0.0002378
91,2150.94,1.01573,1.41248,0.51571,0.945,0.91893,0.81773,0.89259,0.63619,0.89058,0.78184,0.85597,0.51625,1.01134,1.46496,0.52724,0.95701,0.000218,0.000218,0.000218
92,2172.92,0.99801,1.39817,0.50798,0.9402,0.92465,0.82261,0.89375,0.63053,0.89462,0.79158,0.85927,0.51934,1.04098,1.4706,0.53512,0.96079,0.0001982,0.0001982,0.0001982
93,2195.12,0.9835,1.3688,0.50372,0.94138,0.91915,0.81545,0.88961,0.63167,0.89069,0.78131,0.85448,0.51769,1.03692,1.48526,0.53774,0.95713,0.0001784,0.0001784,0.0001784
94,2217.18,0.98362,1.37677,0.50802,0.9345,0.93119,0.82125,0.89384,0.62477,0.90368,0.78958,0.85981,0.50774,1.0689,1.48813,0.53127,0.96736,0.0001586,0.0001586,0.0001586
95,2239.81,0.98903,1.38825,0.51283,0.9402,0.92436,0.8192,0.89553,0.63941,0.89616,0.79101,0.86585,0.52141,1.01813,1.45834,0.52444,0.95298,0.0001388,0.0001388,0.0001388
96,2262.5,0.99153,1.38236,0.51379,0.94426,0.91962,0.81527,0.89526,0.63897,0.90009,0.78976,0.86884,0.52666,1.02688,1.47231,0.52442,0.9615,0.000119,0.000119,0.000119
97,2284.41,0.97185,1.36776,0.50365,0.93305,0.92589,0.82565,0.89932,0.63761,0.8969,0.79662,0.864,0.52355,1.0275,1.47166,0.52407,0.95607,9.92e-05,9.92e-05,9.92e-05
98,2306.25,0.97262,1.36214,0.50123,0.93422,0.92393,0.82691,0.89879,0.63577,0.89423,0.79381,0.86016,0.51639,1.03005,1.47378,0.52509,0.95223,7.94e-05,7.94e-05,7.94e-05
99,2328.27,0.96096,1.35666,0.50023,0.9312,0.92008,0.81949,0.89685,0.64144,0.88884,0.79056,0.86248,0.52329,1.00664,1.45804,0.52069,0.95055,5.96e-05,5.96e-05,5.96e-05
100,2350.46,0.9693,1.36189,0.49648,0.93465,0.92166,0.82171,0.89837,0.64608,0.89282,0.7914,0.86388,0.52994,0.99404,1.44537,0.51748,0.94999,3.98e-05,3.98e-05,3.98e-05
